example_id,method,translation,reference,chrf_score
2,translator-agentic,"teví kat+ 'i-ikata-k+ ki 'iya paapá +kú, kemarite xupureru, temawiet+ tutú. ki 'iya háne, 'uxi me-'i-ikata-k+ ki 'iya ki, ki 'iya ki 'iya. ki 'iya ki 'iya ki 'iya. ki 'iya ki 'iya ki 'iya.","Temaik+ wixárika ká uyeiwet+ yu kemarite ránakat+t+, yu xupureru k+ tsiuri naime rá naka pit+ yu temawiet+ yu kie ye at+ yu iwama wa hé ts+a.",23.114589380982633
6,structured,uká kat+ uká iwa uká ts+a,Uká yu kie únet+ yu xakwitsari kawewienike.,9.341515530059102
1,translator-pipeline,[image] [group] 'i-[show]. [cows] me-ti. [ground] [be]. [lighting] [indicate].,Wakaitsixi wa+ kawa me má tsunawawe wá hetsié titiyá xit+ximekaku me uxipiet+.,6.965879276383779
3,translator-pipeline,[image] [group of people] me-[depict]. [individuals] [irrigation pipe] me-'i-[stand]. [individuals] kemaritexi me-me-[wear]. [individuals] [work] me-'i-[discuss].,"Te+teri ya me yu pa+ met+ me yu xe+riet+, me te tá uximayá take rí meri papaya tsie.",10.52776959182376
5,translator-pipeline,[image] [bean pods] me-[show]. [section] [green bean pods] me-[contain]. [section] [brownish-green bean pods] me-[be].,"Ikwai tá kie m+ti xuáwe hik+ witarita, metá tsepá ke ane ikwaiya.",7.960644245840181
7,structured,[tractor] kat+ wixáritari me-iwa há apá [flow],"Te iwamete m+re wati iwat+re me yu ku há arit+wat+, me te ta may+anike.. yu turiki tractor tsie.",12.620121412330896
4,translator-pipeline,[image] [suspension bridge] 'i-[depict]. [individual] háne me-'i-[walk]. [individual] [backpack] 'i-ikata. [individual] [walking stick] 'i-[use]. [individual] [colorful outfit] 'i-[dress]. [sky] [appear]. Háne [cables] me-[support]. Há apá [brown] 'i-[be].,Wixarika yu kié hé yáka wapait+ uyemiet+ há apá kaku.,9.455385942222897
8,structured,ki ti ki [be],"Ik+ kareta m+ya kaxetuni wixárika wapait+ yu +kú puti utá, uti xainék+ metá tsiere manapait+ rá ye hupú.",1.7533146054455577
1,translator-agentic,"'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi. 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi. 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi. 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi. 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi. 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi, 'eni háne tewáxi me-'i-ya-t+ 'uxi.",Wakaitsixi wa+ kawa me má tsunawawe wá hetsié titiyá xit+ximekaku me uxipiet+.,6.757024913071197
6,translator-pipeline,[image] uká 'i-[show]. Uká kat+-t+. Uká +kúxi me-[work]-t+. Uká [kernel] me-[remove]-t+.,Uká yu kie únet+ yu xakwitsari kawewienike.,13.763095611286074
6,translator-agentic,"uká kat+-t+ háne, ne-iwa +kú. uká me-'i-ikata-k+ +kú, +kú me-'i-ikata-k+ háne. uká me-'i-ikata-k+ +kú, ne-'i-ikata-k+ háne. uká me-'i-ikata-k+ +kú, ne-'i-ikata-k+ háne. uká me-'i-ikata-k+ +kú, ne-'i-ikata-k+ háne. uká me-'i-ikata-k+ +kú, ne-'i-ikata-k+ háne. uká me-'i-ikata-k+ +kú, ne-'i-ikata-k+ háne. uká me-'i-ikata-k+ +kú, ne-'i-ikata-k+ háne.",Uká yu kie únet+ yu xakwitsari kawewienike.,6.370735987168601
7,translator-pipeline,[image] [tractor] 'i-[show]. [tractor] [stones] me-[rest]-t+. Wixárika há 'i-[wade].,"Te iwamete m+re wati iwat+re me yu ku há arit+wat+, me te ta may+anike.. yu turiki tractor tsie.",13.49471165344523
9,structured,tewáxi ti [calf] tsunawa,"Tewáxi kurarutá me há ti ut+, me héu ye x+rienik+ hik+ me ka ni kunaka mú wiwiye.",7.259433641406732
10,structured,tsapa [soup] 'i-wa te+teri ikwai me-'i-[enjoy],"Ikwai hik+ mieme taxata tsapa hayari ya xeik+a mume m+ y+y+ri, paapá yualawime ya xeik+a kukuriyari.",8.822629914813238
7,translator-agentic,"[image] 'eni +kú +kú +kú, [likely] John Deere [model], [positioned] háne [on] tete há apá. +kú [is] [partially] há [in] há, [with] [its] [large] +kú [resting] [on] tete. [In] [the] [background], [there is] háne [with] [several] [light] [poles], [indicating] huye [above]. [To] [the] [right] [of] +kú, wixárika [is] [wading] há, [holding] [a] [container], [possibly] [collecting] [something] [from] há apá. [The] [scene] [is] [bright] [and] [sunny], [suggesting] [a] [clear] [day].","Te iwamete m+re wati iwat+re me yu ku há arit+wat+, me te ta may+anike.. yu turiki tractor tsie.",11.517265368322688
8,translator-pipeline,[image] [structure] 'i-[depict]. [structure] [stilts] me-[build]-k+. [walls] me-[appear]. [roof] [that]. [ladder] [entrance] 'i-[lead]. [landscape] [be]. [items] [structure] me-'i-[hang].,"Ik+ kareta m+ya kaxetuni wixárika wapait+ yu +kú puti utá, uti xainék+ metá tsiere manapait+ rá ye hupú.",9.657348988598093
8,translator-agentic,"[image] 'i-kwai-t+ [small] [elevated] [structure] [resembling] [hut] [or] [house], [built] [on] [wooden] [stilts]. [hut] 'i-ya [constructed] [from] [bamboo] [or] [similar] [materials], [with] [thatched] [roof] [made] [of] [straw]. [ladder] 'i-ya [made] [of] [wooden] [planks] [leads] [up] [to] [entrance], [which] [is] [open] [and] [lacks] [door]. [there] [are] [some] [items] [hanging] [from] [structure], [possibly] [clothing] [or] [tools]. [surrounding] [landscape] [appears] [rugged] [and] [mountainous], [with] [sparse] [vegetation] [and] [rocky] [terrain]. [sky] [is] [bright], [suggesting] [sunny] [day].","Ik+ kareta m+ya kaxetuni wixárika wapait+ yu +kú puti utá, uti xainék+ metá tsiere manapait+ rá ye hupú.",8.529200095582892
11,structured,uká kat+ uká iwa,Uká yu wipat+ hátetsita uyu ti ekwá karí.,9.920458310688446
10,translator-pipeline,[image] [dining setup] 'i-[show].,"Ikwai hik+ mieme taxata tsapa hayari ya xeik+a mume m+ y+y+ri, paapá yualawime ya xeik+a kukuriyari.",3.587194458763504
9,translator-pipeline,[image] tewáxixi me-[show]. Tewáxi ti. Tewáxi [appear]. [background] [consist]. [ground] [cover].,"Tewáxi kurarutá me há ti ut+, me héu ye x+rienik+ hik+ me ka ni kunaka mú wiwiye.",13.137946885843037
12,structured,[girl] mie [girl] [wheelbarrow] 'i-ikata tewáxixi me-ti,Uká yu tsikeruma ti wa minet+ ya xeik+a wa rá ka hárit+wat+ tats+arí uxá rieka mieme.,8.399902341040152
11,translator-pipeline,[image] uká 'i-[show]. Uká kat+-t+. Uká [dress] 'i-[wear]. Uká [something] 'i-[focus]. [there] [clothes] me-[be]. [setting] [be].,Uká yu wipat+ hátetsita uyu ti ekwá karí.,12.179552340449055
13,structured,[men] [bags] me-me-ikata [men] [truck] me-'i-[work],Te+teri me ikata t+wet+ kuxitari metuat+wet+ kaxutsie.,9.056358300005044
10,translator-agentic,"uká 'eni-t+ [image] 1. **ikwai**: - 'i-wa-t+ [plate] +tsapa [fish] 'i-kwá-t+ [reddish sauce], 'i-kwá-t+ [likely] [stew] [or] [curry]. - 'i-kwá-t+ [next] [to] [it], 'i-kwá-t+ [small bowl] +kú [green sauce] [or] [condiment]. - 'i-kwá-t+ [also] [plate] +kú [long] +kú [green] [vine-like vegetables] [or] [herbs], [possibly] [for] [garnish] [or] [accompaniment]. 2. **Background**: - 'i-kwá-t+ [behind] [the food], 'i-kwá-t+ [wooden object] 'i-eni-t+ [that looks like] [traditional scale] [or] [press], 'i-kwá-t+ [covered] [with] [cloth] +kú [blue floral patterns]. - 'i-kwá-t+ [the wall] 'i-eni-t+ [behind] [the table] 'i-kwá-t+ [made of] [exposed brick], 'i-kwá-t+ [giving] [a rustic feel] [to] [the setting]. Overall, 'i-kwá-t+ [the scene] 'i-eni-t+ [suggests] [a casual meal] [with] [traditional elements].","Ikwai hik+ mieme taxata tsapa hayari ya xeik+a mume m+ y+y+ri, paapá yualawime ya xeik+a kukuriyari.",8.579849045572036
12,translator-pipeline,[girl] [wheelbarrow] 'i-[walk]-t+. [girl] [skirt] 'i-[wear]-t+. [calf] [fence] me-'i-[graze]-t+.,Uká yu tsikeruma ti wa minet+ ya xeik+a wa rá ka hárit+wat+ tats+arí uxá rieka mieme.,8.502664109486767
14,structured,ne [taco] ne-'i-[hold] ne tsapa ne-'i-wa,Tsapa ikwai taipa war+ kariet+ kwáxit+ri.,7.465859703499195
13,translator-pipeline,[image] [group] 'i-[show]. [truck] [park]. [men] [bags] me-me-[engage]-t+. [worker] [truck] 'i-[position]. [others] [ramp] me-'i-[use].,Te+teri me ikata t+wet+ kuxitari metuat+wet+ kaxutsie.,9.90371616408195
15,structured,wixárika kat+ te+teri me-iwa [bucket] [contain] iwama [be],Uká tú mati tatsiu h+xi in+net+ hipame yu iwama wa há mat+a.,14.402080897874583
14,translator-agentic,"[image] 'eni uká 'i-ikata-t+ paapá tsapa 'i-kari-t+ 'iya. Tsapa 'i-kwá-t+ 'iya, 'i-kwá-t+ 'iya, 'i-kwá-t+ lime 'i-kwá-t+ 'iya. 'I-kwá-t+ há apá, 'i-kwá-t+ háne, 'i-kwá-t+ kiye. 'I-kwá-t+ táu, 'i-kwá-t+ 'iya. 'I-kwá-t+ 'iya 'i-kwá-t+ 'iya.",Tsapa ikwai taipa war+ kariet+ kwáxit+ri.,13.461891867348832
14,translator-pipeline,[image] [hand] 'i-[show]. Tsapa [appear]. [slice] tsunawa. [sky] [be].,Tsapa ikwai taipa war+ kariet+ kwáxit+ri.,13.175715598559506
16,structured,uká iwama 'i-[work] uká iwama 'i-[stand],"Ite+ri mana yemakaku te+teri winixi meu wa weiyat+we, me teu kax+nik+.",6.388906765862417
15,translator-pipeline,Wixárika [ground] 'i-[sit]-t+. Te+teri [harvesting] me-'i-[engage]-t+. [bucket] [fruit] me-[fill]-t+. [workers] iwama me-'i-'eni. Iwama [plant] me-[be].,Uká tú mati tatsiu h+xi in+net+ hipame yu iwama wa há mat+a.,14.032475999258953
17,structured,puritu ti puritu [be],Puritu m+ya caballo ya xeik+a titi ikat+ame p+reu ye at+ani a ikate a kie pait+ ha kewa kaxu m+kau ta hake.,5.008273058989796
16,translator-pipeline,[image] iwama 'i-[depict]. [sky] [be]. [trees] iwama me-'i-[line]. Wixárika [plants] me-'eni.,"Ite+ri mana yemakaku te+teri winixi meu wa weiyat+we, me teu kax+nik+.",11.958930290004528
17,translator-pipeline,Puritu ti. Puritu [image] 'i-[feature].,Puritu m+ya caballo ya xeik+a titi ikat+ame p+reu ye at+ani a ikate a kie pait+ ha kewa kaxu m+kau ta hake.,8.853251001782333
18,structured,muxatsixi me-[graze] muxatsixi me-ti,Muxatsi me muye +netsie yuwa+kawa p+kawaru xeiya.,13.46807273637219
18,translator-pipeline,[image] [area] 'i-[show]. [goat] me-ti. [goat] [ground] me-'i-[be].,Muxatsi me muye +netsie yuwa+kawa p+kawaru xeiya.,8.511111926700496
18,translator-agentic,"'eni uká 'i-kwai-t+ háne, me-'i-muxatsi-ri. me-muxatsi-ri pe-'i-kwai-t+ k+á, pe-'i-muxatsi k+á há, 'i-kiyé-t+ k+á. 'i-kiyé-t+ háne, háne 'i-kiyé-t+ há, 'i-kiyé-t+ háne, háne 'i-kiyé-t+ há. 'i-kiyé-t+ háne, háne 'i-kiyé-t+ há. 'i-kiyé-t+ háne, háne 'i-kiyé-t+ há. 'i-kiyé-t+ háne, háne 'i-kiyé-t+ há.",Muxatsi me muye +netsie yuwa+kawa p+kawaru xeiya.,10.810283207768325
19,structured,wixárika paapári me-kari wixárika tai 'i-[stand],"Ukari mete pit+ k+yexik+ menait+, mete kwanikeri.",11.216051508521732
19,translator-pipeline,[image] [cooking scene] 'i-[show]. [stove] tai 'i-[be]. Paapári me-[cook]-t+. Wixárika [utensil] 'i-[hold]. [items] [cooking items] me-me-[be]. Te+teri kemaritexi me-me-[be].,"Ukari mete pit+ k+yexik+ menait+, mete kwanikeri.",13.503036537356234
19,translator-agentic,"[image] 'eni-kwá-t+ [cooking scene] háne. [metal stove] há tai 'i-kari-t+ [tortillas]. [person] wixárika 'i-kari-t+ [blue skirt] 'i-ikata-t+ [cooking process]. [utensils] 'i-ikata-t+ [ingredients] 'i-ikata-t+ [table], [food preparation] 'i-ikata-t+ [taking place]. [background] me-wixárika 'i-eni-t+ [same activity]. [setting] 'i-ki [communal or festive gathering].","Ukari mete pit+ k+yexik+ menait+, mete kwanikeri.",10.954159319132375
